symbol,source_symbol,english_name,chinese_name,sector,sub_industry
AAPL,AAPL,Apple Inc.,苹果,Information Technology,"Technology Hardware, Storage & Peripherals"
MSFT,MSFT,Microsoft,微软,Information Technology,Systems Software
BRK-B,BRK.B,Berkshire Hathaway,伯克希尔,Financials,Multi-Sector Holdings
